NAICS  Code,Kind of Business,,,,
,,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,NOT ADJUSTED,,,,
,"Retail and food services sales, total","517,119","490,657","1,007,776","958,768"
,Retail sales and food services excl motor vehicle and parts,"412,864","387,813","800,677","767,573"
,Retail sales and food services excl gasoline stations,"479,905","454,373","934,278","882,109"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"375,650","351,529","727,179","690,914"
,"Retail sales, total","464,362","440,182","904,544","834,245"
,"Retail sales, total (excl. motor vehicle and parts dealers)","360,107","337,338","697,445","643,050"
,GAFO(1),"102,333","95,130","197,463","192,101"
441,Motor vehicle and parts dealers,"104,255","102,844","207,099","191,195"
"4411,4412",Automobile and other motor vehicle dealers,"96,537","95,324","191,861","176,418"
4411,Automobile dealers,"90,463","88,477","178,940","166,354"
44111,New car dealers,"79,954","77,192","157,146","146,434"
44112,Used car dealers,"10,509","11,285","21,794","19,920"
4413,"Automotive parts, acc., and tire stores","7,718","7,520","15,238","14,777"
"442,443","Furniture, home furn, electronics, and appliance stores","17,773","16,294","34,067","32,708"
442,Furniture and home furnishings stores,"10,707","10,019","20,726","18,942"
4421,Furniture stores,"6,099","5,691","11,790","10,435"
4422,Home furnishings stores,(S),(S),,
44221,Floor covering stores,(S),(S),,
442299,All other home furnishings stores,(S),(S),,
443,Electronics and appliance stores,"7,066","6,275","13,341","13,766"
443141,Household appliance stores,"1,631","1,495","3,126","2,464"
443142,Electronics stores,"5,435","4,780","10,215","11,302"
444,Building mat. and garden equip. and supplies dealers,"31,229","29,581","60,810","53,203"
4441,Building mat. and supplies dealers,"27,143","25,613","52,756","46,734"
44412,Paint and wallpaper stores,923,895,"1,818","1,848"
44413,Hardware stores,"2,352","2,203","4,555","4,013"
445,Food and beverage stores,"71,726","65,894","137,620","126,529"
4451,Grocery stores,"64,785","59,076","123,861","114,592"
44511,Supermarkets and other grocery (except convenience) stores,"62,085","56,547","118,632","109,447"
4453,"Beer, wine, and liquor stores","5,087","4,974","10,061","8,506"
446,Health and personal care stores,"29,509","27,775","57,284","56,743"
44611,Pharmacies and drug stores,"25,420","23,752","49,172","47,623"
447,Gasoline stations,"37,214","36,284","73,498","76,659"
448,Clothing and clothing access. stores,"15,740","16,592","32,332","36,105"
4481,Clothing stores,"10,568","10,683","21,251","25,726"
44811,Men's clothing stores,349,353,702,"1,214"
44812,Women's clothing stores,"2,043","2,069","4,112","5,064"
44814,Family clothing stores,"5,903","5,920","11,823","14,434"
44819,Other clothing stores,"1,184","1,187","2,371","2,569"
4482,Shoe stores,"2,213","2,172","4,385","4,849"
44831,Jewelry stores,"2,640","3,405","6,045","4,892"
451,"Sporting goods, hobby, musical instrument, and book stores","7,421","6,409","13,830","11,499"
45111,Sporting goods stores,"4,150","3,819","7,969","6,091"
45112,"Hobby, toy, and game stores","1,646","1,444","3,090","2,374"
451211,Book stores,820,458,"1,278","1,583"
452,General merchandise stores,"59,643","54,183","113,826","107,799"
4521,Department stores,"8,327","7,881","16,208","17,546"
452111,Department stores(excl. discount department stores),"1,273","1,495","2,768","4,619"
452112,Discount dept. stores,"7,054","6,386","13,440","12,927"
4529,Other general merchandise stores,"51,316",46302,97618,"90,253"
45291,Warehouse clubs and superstores,"44,568","39,956","84,524","78,262"
45299,All other gen. merchandise stores,"6,748","6,346","13,094","11,991"
453,Miscellaneous store retailers,"11,175","10,508","21,683","20,696"
4532,"Office supplies, stationery, and gift stores","1,756","1,652","3,408","3,990"
45321,Office supplies and stationery stores,885,763,"1,648","1,779"
45322,"Gift, novelty, and souvenir stores",871,889,"1,760","2,211"
45330,Used merchandise stores,"1,385","1,341","2,726","3,052"
454,Nonstore retailers,"78,677","73,818","152,495","121,109"
4541,Electronic shopping and mail-order houses,"69,830","64,683","134,513","104,201"
45431,Fuel dealers,"4,115","4,423","8,538","7,805"
722,Food services and drinking places,"52,757","50,475","103,232","124,523"
7224,Drinking places,(S),(S),,
7225,Restaurants and other eating places,"49,022","46,299","95,321","109,042"
722511,Full service restaurants,(S),(S),,
"722513, 722514, 722515",Limited service eating places,"28,457","25,819","54,276","54,175"
,"Retail and food services sales, total","576,466","559,893",,
,Retail sales and food services excl motor vehicle and parts,"456,387","444,097",,
,Retail sales and food services excl gasoline stations,"535,571","517,604",,
,ADJUSTED(2),,,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"415,492","401,808",,
,"Retail sales, total","520,162","504,548",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","400,083","388,752",,
,GAFO(1),"118,584","111,870",,
441,Motor vehicle and parts dealers,"120,079","115,796",,
"4411,4412",Automobile and other motor vehicle dealers,"111,475","107,347",,
4413,"Automotive parts, acc., and tire stores","8,604","8,449",,
"442,443","Furniture, home furn, electronics, and appliance stores","19,623","18,661",,
442,Furniture and home furnishings stores,"12,098","11,490",,
443,Electronics and appliance stores,"7,525","7,171",,
444,Building mat. and garden equip. and supplies dealers,"39,996","38,002",,
4441,Building mat. and supplies dealers,"34,710","32,753",,
445,Food and beverage stores,"72,730","72,406",,
4451,Grocery stores,"64,656","64,353",,
4453,"Beer, wine and liquor stores","5,936","5,914",,
446,Health and personal care stores,"30,204","29,930",,
44611,Pharmacies and drug stores,"25,548","25,108",,
447,Gasoline stations,"40,895","42,289",,
448,Clothing and clothing access. stores,"21,351","20,234",,
4481,Clothing stores,"14,174","13,724",,
44811,Men's clothing stores,435,449,,
44812,Women's clothing stores,"2,765","2,616",,
4482,Shoe stores,"3,069","2,511",,
44831,Jewelry stores,"3,729","3,622",,
451,"Sporting goods, hobby, musical instrument, and book stores","8,579","8,011",,
452,General merchandise stores,"66,933","62,909",,
4521,Department stores,"10,698","9,900",,
4529,Other general merchandise stores,"56,235","53,009",,
45291,Warehouse clubs and superstores,"48,443","45,664",,
45299,All other gen. merchandise stores,"7,792","7,345",,
453,Miscellaneous stores retailers,"12,744","12,341",,
454,Nonstore retailers,"87,028","83,969",,
4541,Electronic shopping and mail order houses,"78,993","75,564",,
45431,Fuel dealers,"2,676","3,146",,
722,Food services and drinking places,"56,304","55,345",,
